"","mz","rt","S_1","S_2","S_3","S_4","S_5","S_6","S_7","S_8","S_9","S_10","B_1","NIST_1","SP_1","S_11","S_12","S_13","S_14","S_15","S_16","S_17","S_18","S_19","S_20","B_2","NIST_2","SP_2","S_21","S_22","S_23","S_24","S_25","S_26","S_27","S_28","S_29","S_30","B_3","NIST_3","SP_3","S_31","S_32","S_33","S_34","S_35","S_36","S_37","S_38","S_39","S_40","B_4","NIST_4","SP_4","S_41","S_42","S_43","S_44","S_45","S_46","S_47","S_48","S_49","S_50","B_5","NIST_5","SP_5","S_51","S_52","S_53","S_54","S_55","S_56","S_57","S_58","S_59","S_60","B_6","NIST_6","SP_6","S_61","S_62","S_63","S_64","S_65","S_66","S_67","S_68","S_69","S_70","B_7","NIST_7","SP_7","S_71","S_72","S_73","S_74","S_75","S_76","S_77","S_78","S_79","S_80","B_8","NIST_8","SP_8","S_81","S_82","S_83","S_84","S_85","S_86","S_87","S_89","S_90","B_9","NIST_9","SP_9","S_91","S_92","S_93","S_94","S_95","S_96","S_97","S_98","S_99","S_100","B_10","NIST_10","SP_10","S_101","S_102","S_103","S_104","S_105","S_106","S_107","S_108","S_109","S_110","pValue"
"138","118.0862442","1.304804819","5752205.394","5126825.495","7659342.874","3792074.255","5804854.844","3470919.672","5731287.16","5828193.201","2985454.137","5703883.91","","1153377.368","4651281.406","5285230.577","4386596.977","5428792.804","2788675.861","5641932.337","5305132.376","5482282.247","5673470.72","3107282.415","2976153.632","3225778.563","3140832.887","6006271.048","4919859.987","2628398.417","4608476.214","6499231.157","5784361.595","3216764.949","3822725.258","7269150.191","6324290.025","3009493.818","","","3557555.556","4856091.979","3802205.572","2676142.178","4411707.498","5320608.365","4361682.68","2139668.365","2815850.573","4097113.298","6985995.169","8359593.595","","4478311.075","7030153.726","3440323.124","6748563.56","7286339.411","7745032.208","3412161.734","5841178.119","5594335.458","7043683.481","5278695.698","","3327523.131","3808033.243","4056377.053","6993493.064","4513885.062","6538137.988","4576136.329","5919189.326","3410060.308","4122921.846","5334250.187","4870106.104","7231177.276","3166176.753","7077208.893","3750260.324","8341563.86","3943218.995","6303916.307","3726269.163","3424871.839","4533542.236","6486333.239","4939130.895","7005896.655","9049572.901","3646503.817","5795280.101","7173690.213","3009853.035","3892117.883","7847944.455","3045268.935","4272823.511","4979708.922","3226809.763","6025515.058","3990706.18","9074359.889","3104558.02","5459865.917","6112523.66","4495462.618","5500498.451","4920228.357","6777020.305","4706874.448","4675868.536","6725235.334","7633666.005","5215702.941","3085931.686","3623558.389","5433854.481","4224476.189","7095104.151","6953548.905","6897559.904","6484679.333","3797525.54","7337415.979","3826797.966","6827823.498","","2862440.966","5613502.958","7197502.224","6689667.964","3677434.973","6844566.104","6215541.116","3541288.658","6274748.888","4632419.871","6683535.865","3158653.906","0.3432230372597769"
"140","544.3373257","15.82611723","11161111.76","9045854.861","14851619.75","10183393.01","9128359.29","9113201.917","10235311.9","9639482.73","9645727.907","8062702.158","","8916221.101","4579656.289","10535321.13","9101985.159","7201982.879","4072742.235","10442881.33","10604477.17","11971562.54","5597655.743","18416261.59","11664347.61","","9767971.53","4885663.389","11256051.89","12243068.87","9297843.071","8475333.199","4741667.115","7480985.149","11260129.86","11370816.99","6347785.527","7148952.819","","11346812.51","4204791.672","14911529.76","13115882.86","8962983.879","8264620.699","13610636.13","13486016.33","8246110.539","10595346.63","11034473.94","6501500.244","","9600916.177","4456077.25","12987200.49","7858354.114","13201819.77","11021469.29","8838572.653","12947590.47","11214154.65","18913224.92","11736918.23","8189970.197","","9842128.648","5635375.807","13028610.07","5000043.506","6125488.854","7174746.078","8720033.365","12417909.83","6173180.772","6138872.718","11205837.64","7965184.432","","10196731.41","5179248.954","5942562.194","4434839.278","11561037.49","9077152.927","11395383.02","9882422.359","9894963.614","11435510.22","8900138.652","11676555.67","","8881530.421","5801157.089","7320795.101","8987066.672","13082019.03","8659840.448","10031722.22","15177555.63","6583310.688","10885505","8289489.689","7655745.086","","10122741.75","7056484.103","17788907.3","14420816.72","16446923.79","8896824.383","11058604.48","15931319.36","15787648.94","9383611.572","19989032.83","","20761769.05","7277631.816","19469737.01","14342208.41","12812013.06","12878842.08","12211181.36","20839278.13","16402364.18","14422677.23","13705693.84","9056450.517","","19638226.1","10955065.79","16390174.29","9707393.936","13998256.66","12866529.86","13489365.81","7618613.129","16245353.77","21132356.68","17135707.19","14384673.25","0.8381761185152332"
"141","140.0059191","1.208505533","4214323.936","4436641.69","4879937.455","3882403.81","4480290.804","4039964.244","4542882.77","4375859.145","4267080.992","4853896.578","","21380.97135","4554853.548","3786256.332","4796206.608","4504418.56","4148386.803","4214083.898","4417900.724","4643069.543","4065528.736","4216517.669","4057204.336","","21251.74659","4499436.432","4020854.802","4311908.461","3962919.407","4671906.205","4526434.768","4410922.711","3424342.023","4949501.005","4258052.384","4179815.2","","21012.12532","4331815.242","4449303.046","4891858.826","4342531.648","3936239.935","4623778.756","4452318.221","4935919.785","4098628.972","4013859.865","3808937.57","","22534.85957","4109843.62","4058965.825","4512447.375","4334489.932","3776820.239","4233376.111","3763296.63","4451976.107","4062007.643","4229256.31","4647959.882","","23581.48913","3964884.498","3790311.465","3643516.926","3515476.817","4286688.556","3684212.733","3691727.819","3933277.307","3651352.566","4259786.562","3832386.819","","20447.64495","3944282.271","4163672.365","4611914.211","3776370.019","3829799.077","3932149.917","3630325.755","4658826.901","3633359.287","3459601.999","3810493.819","","26752.16895","3819962.817","3869563.977","3889321.17","4148338.909","4291136.363","3728498.773","4440040.021","4276902.487","3755981.659","4326565.977","3637650.799","","8937.322704","3901872.06","4356009.263","4033460.806","3135078.106","3803871.418","3757060.181","3839566.042","3715905.512","3513270.457","3842737.061","","19466.96155","4315019.623","3425980.706","3762647.472","4169940.423","4235630.918","3338215.403","4045120.195","3752283.367","3796851.909","2950713.546","4241279.653","","9050.323947","3843675.601","4055581.19","6942027.191","4594520.219","3269829.972","4043131.536","3957899.035","3608945.61","3405654.161","3565562.392","4543503.946","0.7831847583681564"
"148","317.2448412","16.92036506","638646.7548","218646.7996","1025246.613","802132.3336","674989.8192","766335.9655","831419.2768","863652.8652","847572.6986","722684.8006","","1553730.029","4269244.629","963119.1632","603587.1652","977949.7859","337621.5797","897367.5551","882380.7915","1011043.383","446763.7299","1241864.452","805649.1639","","1835489.06","3221165.906","790688.2","1032632.505","736148.9796","750116.0923","775666.8299","1317456.555","734376.1728","1358693.485","835158.9713","856635.5317","","1982186.572","3513782.111","1927869.596","1200210.604","881993.7175","1475151.755","1870153.404","941582.7878","1099091.806","1158033.339","803552.5677","766384.739","","1481515.871","3796689.546","464221.0182","899511.9034","856227.586","795203.9592","623669.1384","815527.1253","804759.9977","1007718.166","570117.511","614392.6625","","1879115.916","4438587.41","820281.4047","620515.0727","581651.9135","701016.1401","599415.6586","1088550.97","464276.2496","731582.4085","1143643.151","822980.7426","60226.80432","2132241.06","2691689.249","645450.2717","785818.8274","1182334.291","587141.6243","868301.0067","630706.1486","1132860.008","670008.2978","596290.2742","1006818.137","","1843398.121","2446081.426","498412.7337","775914.4421","1008365.888","898748.872","1087471.678","1263878.116","639958.1024","923973.1984","1049820.566","620599.1514","39357.83882","1937604.55","3208774.52","901247.6","502331.8575","1148481.212","255805.1003","287837.6974","595678.3643","660301.2681","490610.9327","828987.3616","","2022916.203","2504550.856","736139.846","556210.1671","1317335.558","737241.6926","384295.6385","739837.8455","1403110.767","612518.0709","893293.7833","485831.9956","","2592606.638","4087132.476","629233.4532","456756.9523","662178.4493","1484964.262","631514.8531","396383.7944","1695240.314","3658501.039","2840798.442","2090340.897","0.573970357595835"
"149","144.0808011","4.411093582","4041815.778","5036221.41","4466462.097","4371360.225","4776298.913","4740663.184","4138723.365","4674169.877","3601549.389","3722868.508","102811.7494","4314205.458","4247106.383","3333213.929","4346965.112","4270172.266","3571868.765","2992455.516","4911138.725","4328686.449","3221941.708","5320439.615","4429526.867","129946.6282","4322336.893","3627588.755","3642823.987","2841717.234","3682453.067","4342416.5","3975292.102","3541203.133","3188756.132","5299961.763","4243290.451","2836734.176","264665.7625","3896789.242","3724104.587","3934136.043","4848653.616","3149162.904","3759308.173","3276591.139","4067153.311","3278121.941","4122235.524","3650268.075","4555960.531","163558.2397","4167685.952","3545866.271","4761794.787","3782345.398","4145511.115","4384234.936","2716311.687","4363359.188","3533544.448","4265070.967","4201244.912","5183174.302","673871.0061","4317503.615","3955793.979","3988047.012","3985213.808","4515791.912","4282358.375","4337742.496","3722580.072","4237910.911","3630230.887","4410653.968","4434001.094","422018.4714","4047691.911","4025074.66","4041591.52","3423807.237","3420523.173","3427511.343","3334655.546","3557338.53","3569230.633","2947717.07","3023420.678","3892845.935","240268.1379","4027424.375","3914339.997","3652653.31","3777348.743","4233777.622","5362533.154","4098095.093","3230424.184","4186752.405","3989326.274","3684783.909","3604282.408","","3964690.71","3727830.941","3898742.688","4374770.257","3721220.434","3597437.162","3417907.409","3168587.69","4076145.503","4469750.533","4218879.659","","3315933.564","3981087.2","2320168.839","3960112.279","4337954.164","4226353.291","3524281.598","3309037.592","4195184.562","4019000.565","3108757.381","4936426.281","","3383559.772","3615588.763","4146849.938","3611292.583","3942672.96","3386974.459","2989451.973","3501863.794","3743044.137","2197081.873","2065077.307","4349871.59","0.03368696708875363"
"152","491.3704698","16.60318083","4234640.524","2821976.821","1094818.919","4108951.77","5356314.571","2006539.575","3338849.056","1684769.044","4995070.877","5021174.226","248048.4647","3239157.493","4195480.234","6621159.924","5232369.331","4115719.089","4022633.536","3427935.124","1533657.53","5326369.957","4522007.102","2124090.04","5187095.335","219888.4488","3331946.653","4352153.443","3203155.806","6929792.431","3035121.782","1811180.421","1569563.569","3027524.104","3715895.445","1468508.199","3376846.864","5290361.394","289516.3628","3204763.148","4865812.075","2958181.533","1938481.572","5236766.712","5386474.04","3197046.61","5507784.733","5537619.11","5791178.431","5761428.229","5052626.772","284599.6817","2972197.806","4653706.523","2900363.141","4921443.556","7232452.157","4832180.689","3630619.136","3810103.559","4712697.007","4043821.256","4978097.672","2256652.261","","3110409.654","4157133.364","1850362.944","5968991.838","4209210.861","7817019.283","6537780.665","5684403.556","5209017.965","9337387.849","3873127.913","2268290.98","164895.3713","3248041.215","4332321.65","5654184.39","4426320.103","4392377.4","5760236.681","3291211.761","6973997.09","3445346.987","6003170.441","12742048.08","4424095.345","338097.1278","3206001.188","4704494.703","5535995.295","4063396.824","3812392.357","1384065.409","4572647.189","1618866.356","6057754.456","5480634.53","3987424.781","6435174.981","259455.9154","3173118.135","4436119.639","3017499.253","3876769.871","5370277.382","4835035.131","3507946.269","6079857.542","2263023.804","2872145.789","2425345.05","","2743775.21","2659500.626","4711187.04","3432319.034","3133892.376","3094273.617","3654631.921","2529972.58","4268372.546","3821935.837","2990924.795","2288887.255","","2558700.005","3612396.064","4031560.504","5932743.349","3103020.631","3905862.102","2983691.263","2641267.998","7904372.457","6262462.685","1333754.628","3727766.364","0.08416195098404222"
"161","523.3588019","15.82325032","13230344.08","7355607.118","17298697.61","10946250.24","8792405.247","8839880.73","9335730.747","9845731.963","10785301.41","8006306.863","","9843014.258","3835415.434","13599821.92","8158814.662","6433730.308","3309492.77","10543313.89","7904637.701","13707169.89","4393983.434","21994707.82","15447627.45","","9547544.852","3867924.041","11017696.06","13522013.45","8938225.022","5635020.128","3961286.416","6951175.243","12111785.16","12006968.82","5160908.998","6951474.185","","10942839.54","3383728.986","20642700.29","12971340.75","8366569.301","9045539.598","16086762.8","11899665.63","7644402.284","10844617.65","10866775.23","5234461.726","42043.18796","9217493.503","4220230.088","13385454.98","7108079.638","12346864.35","11407012.9","8054765.474","10649813.57","9509786.219","15590609.28","9866277.768","6836174.769","","8333355.605","4613978.365","12671905.69","3717418.46","5165656.179","6219633.12","8159461.794","10244923.34","3591072.961","4854993.168","11684056.56","6519796.491","","9236119.862","4031635.751","4526418.023","3204742.375","10961272.61","8147636.488","9902510.371","9774219.167","8715020.58","9507492.222","5522967.092","11559358.98","51345.39771","7880163.446","4542345.862","5900530.361","7646149.009","11591859.7","6292239.657","9281957.946","13344144.9","4662313.311","10361354.06","6680563.936","5641287.169","39547.98353","9313742.012","5973139.48","16984341.72","13582466.68","19421139.49","9941645.708","9224610.085","13368834.64","13835276.27","9209597.193","22290596.01","","25949747.9","7095166.658","24015909.74","15403660.49","14545777","15558797.27","11571038.96","20869925.41","19349330.32","14790752.78","11112597.55","9096308.458","","20968093.74","11915068.44","17123062.49","10400061","13404842.08","14760099.4","17230032.07","7054883.229","14895461.76","36630124.08","24486946.09","20433353.78","0.36712884502530607"
"162","785.5880035","18.33342824","3975927.695","3213490.255","4442292.822","4415202.514","4847667.049","4628204.752","3554835.692","3710036.907","3898605.989","3948610.734","498950.0586","3891410.244","3826107.6","4828124.893","2399127.319","3558303.756","3514231.709","3971536.06","5126766.981","5423759.65","3758501.382","4832898.083","4423162.902","576912.2952","3651456.894","3756550.159","4093459.016","6019690.377","3747731.956","4825252.045","4540681.945","3037535.284","3154270.1","5538760.351","3059875.151","4164554.449","543013.2541","4190023.171","4076988.901","6309734.802","5892142.768","3466107.411","3895459.255","5307764.716","3554318.768","5442342.203","4452442.138","4900098.086","3518055.35","505469.2632","3673682.696","3590655.927","3128939.934","4276141.052","4028442.426","4973473.079","5336564.065","4337760.317","5277093.45","5036136.722","3699478.181","4122489.053","461830.9862","3299126.54","3365606.984","3799975.624","4065912.352","3287029.123","3596321.902","2849147.995","2853007.558","3298851.955","2493114.441","3874407.89","3641707.367","409722.2416","3654245.932","3503823.807","3139714.852","3497751.212","4991871.591","3229082.606","3780431.863","3677511.803","3681821.214","3711496.309","2954176.98","4897244.438","568325.5511","3783680.475","4092653.557","1295974.992","3501741.26","3802798.784","3675868.865","3836510.599","5751433.01","3826654.728","4008811.018","4765015.417","4260056.712","618687.4926","3293653.343","4031792.349","9790408.857","4568120.363","","1840184.22","","","6655381.401","","","","","2789086.526","","6573019","6401591.523","","","","4204952.389","","","4679825.582","389958.3517","5313315.304","","","7185564.647","5782880.297","","","4624292.372","5651597.105","6429564.886","","6603131.627","0.5906227865661466"
"165","437.9724531","1.100602119","4104300.752","4444646.833","4628691.163","3638005.657","3469153.814","3687374.297","3533795.812","3866109.183","3245568.817","3709702.11","","14117.28822","3810310.529","2624059.138","3368276.812","3025040.916","3138186.637","3254915.923","3153183.67","3098340.377","2807847.768","3320785.543","2794926.193","","14076.71796","3080485.219","2954767.709","2681507.412","3055367.586","3151617.084","2866439.452","2940592.298","2448049.834","3412528.436","2852466.567","2890282.066","","16526.69043","2877361.566","2858945.792","2975876.38","2719490.091","2370807.635","2873037.176","2975181.926","2843808.384","2137946.283","2350267.364","2367518.33","","17384.37152","2477865.26","2753826.928","2481666.656","2450451.76","2118137.763","2306067.585","2003190.327","2436701.523","2144187.757","2411322.722","2403244.385","","21423.61132","2482707.459","2221988.5","1959115.824","1955518.148","2320533.1","2130093.624","2592331.923","2200297.74","1740153.743","2240701.459","2002606.584","","11493.67749","2618184.404","2462456.812","2382474.368","2411769.788","1967865.922","2382034.862","1833889.573","2295391.065","3299962.894","1964072.905","1918136.204","","","2079921.55","2006462.878","2119825.634","2334125.298","2471757.313","2068832.152","2552053.579","2130610.024","1967131.241","2286643.079","2224984.961","","15180.43592","2173934.869","2222436.657","1843581.153","1841705.568","1845352.713","2008979.149","1904507.58","2044034.007","1847759.04","5110616.777","","18307.63174","2077645.028","1813692.371","1980733.357","1926470.482","5182874.07","2486125.079","3223264.907","3009882.495","2008512.118","1538218.257","1934388.639","","19496.11866","1829657.26","1888714.219","2818497.201","2555950.699","1617227.027","2800604.964","2154590.328","1685020.367","1570750.081","1723793.261","2318930.043","0.1781497990392822"
"166","155.028331","1.036347181","2486134.025","","","3236491.592","4341940.839","3721544.9","2475478.332","4653310.203","2682202.641","","","6679883.598","3759254.71","","","4695911.32","","4423768.507","3356298.766","","3538306.925","1913648.31","3175890.351","","6990190.24","4487576.669","4774202.176","","3411996.936","3465468.143","4480052.75","","2198448.134","2921924.149","","2379612.484","","7824650.311","4225295.722","","","3093449.002","2520941.207","","","2686474.612","2071850.881","4150497.201","2807554.367","","6728235.042","3076704.387","","3044492.018","","","","2418603.604","2715005.607","2798933.857","2459781.311","3786808.116","","7149308.352","3090293.135","","2877312.175","3471307.461","3014651.68","2038079.976","2058471.674","3601941.799","","3007828.871","3175387.068","","7284915.181","3893548.16","3491936.496","3426155.526","2947940.665","4231615.722","2647943.255","","","3636755.868","3630586.339","2533665.524","","6469559.208","2973395.979","1882312.969","2380316.829","3038675.672","3619683.306","3355553.013","","3680047.601","","2813597.598","2923970.608","","6108546.025","2790157.866","","2318693.21","2239982.059","2051454.358","2979088.53","2568585.097","2863661.502","","2911239.666","","4969041.919","","2626342.894","2866740.986","","2585291.76","3144572.401","2925547.241","2782332.099","2676820.746","2148264.614","3294036.699","","4952633.841","2991349.879","1761658.698","2331641.876","3140672.44","2581814.724","3108981.955","","2747087.272","2894108.754","2758510.267","3455573.585","0.15859856276674167"
"175","343.2627029","16.83824418","1267197.048","644717.5544","3529769.95","1683701.123","583335.3992","645302.0652","1943854.301","2989616.852","1186247.541","1648019.15","","2833118.974","3519802.251","2264202.966","1507816.453","1354190.72","","3107498.466","1377322.305","","975034.9553","1863652.911","761368.1488","","4013083.559","2899287.514","1701226.689","2446218.986","2105497.274","578786.3634","479498.8055","1148462.901","966227.8183","1065703.678","803982.2324","1565685.939","","4494752.676","2189207.277","4959499.239","2513450.792","1016555.018","1065018.819","2637237.261","1978442.584","2553554.814","","599569.288","","","2560805.804","3221297.037","1792432.666","1005682.603","882783.1544","1312145.409","632094.8264","2433413.179","830846.8337","960547.6716","792184.5881","745020.5552","","2727049.453","4726620.044","2586083.648","644102.0414","1281995.661","872631.7176","1534733.722","2575751.695","1019944.032","1201238.257","1198359.347","1345097.054","","3839449.393","2674616.587","","911398.0716","1107440.301","1797771.459","1035836.093","696940.6208","1825169.119","1814532.426","1131914.583","1284409.185","","3881911.131","1864812.186","1531222.98","1626311.14","","","1172613.675","1534871.957","742415.9077","695815.0658","1169833.254","526311.2519","","3394791.572","3348461.909","","1272230.399","3453313.769","490300.5399","1020333.53","1181777.55","647192.8753","2737582.178","1620424.963","","9115783.521","2429429.989","1779128.182","1378610.774","1249754.79","2554511.415","1897868.543","2598345.808","2001962.432","1185547.334","2540351.784","1950682.989","","10531546.38","4205693.865","1441157.354","3399346.764","600967.9037","3542304.907","1195995.959","481364.9261","3896841.884","3665251.885","10421628.16","3536200.606","0.2827443673115777"
"176","121.0164268","0.499959185","3075396.032","3735509.517","3151122.733","3067748.942","3214910.316","4007356.174","3781849.925","3789723.802","2968504.541","3294459.065","","293083.5944","3491228.584","3132966.573","3641514.235","3130534.062","3103085.705","3742707.224","3739987.773","3349651.022","3582620.73","2936453.97","3408291.956","361510.1636","320428.5709","3199267.613","3349367.107","3000398.724","3372564.006","3408586.322","3369852.925","3311141.55","3007178.208","4196585.182","3506949.26","2935835.086","","316878.9327","3313861.212","3448214.105","3786231.164","3600607.061","3071828.561","3609512.959","3272495.096","3388874.584","3436538.544","3055762.375","3676857.678","","354885.3894","3347149.569","2722511.42","3156892.24","2991452.725","3917046.985","3290409.26","3410599.245","3804852.735","3570575.625","3058015.157","3678243.207","270918.8204","374148.7983","3132237.892","2903167.999","3574642.852","2963263.141","3231901.776","3022146.616","3481021.443","3352424.201","2960394.215","3086707.141","3330171.25","284166.8137","335511.4929","3301561.678","3442265.296","3467872.26","3413791.802","2993547.865","3335714.537","3054016.594","4809803.179","3155520.055","2874891.514","3732517.032","","340444.2324","3237800.828","3391932.307","2979637.649","3371740.51","3563913.393","3456235.015","3509386.391","3781192.027","3296973.921","3376052.354","3382221.082","305199.5229","340165.7696","3182931.487","3291990.223","3101259.058","2607380.064","2801237.861","2926494.221","2901583.315","3438983.706","2672585.02","2847560.383","296720.6999","379820.3038","3219468.839","2896111.887","2913089.541","3748443.702","2730378.009","2967244.535","3209475.785","2896928.179","2939050.689","2728660.966","3346474.552","179910.9388","433175.7456","3085629.087","3428606.704","2853103.793","3770584.603","2458362.75","2919632.192","3451220.766","2461275.425","2419733.698","3036134.362","3448223.946","0.05381589307225487"
"177","218.9196457","0.600692579","2167273.02","2267736.414","4399.943322","2212386.678","3070663.6","2468879.153","3756464.053","3718954.04","2595192.214","2890293.825","","3061532.449","3452388.911","3183368.538","3037779.726","2616570.783","2323956.799","3075210.805","3005543.152","2478073.005","3491457.501","2556796.416","2391861.848","","3070748.728","2864628.878","3182495.95","3343080.26","2287824.401","3759809.581","3877210.09","2568812.903","2761262.538","3257510.876","2669564.33","2525826.047","","3244800.537","3221159.916","2493750.063","2742360.225","2607522.815","2329290.16","3177372.319","4004901.002","4006099.992","3642500.965","1939759.639","2434248.271","58737.97252","2562714.299","2071259.293","2166822.716","2511096.824","2534765.139","2646303.968","2029215.536","2873799.226","","2180289.497","2425449.56","2466362.274","","2494295.902","2822741.68","2447348.47","3114508.11","2356659.044","2842284.07","2071979.544","1951801.811","1818538.877","2973497.146","2657483.761","2142164.675","","2791403.801","2244457.85","2364892.264","2687529.721","","2361105.908","2104831.592","1834599.788","3808630.293","1762764.306","2411230.831","2689707.441","","2726529.664","2514859.182","2009767.796","","2613646.447","2125682.836","2236105.836","2756145.506","2862477.689","2622016.322","2381224.992","2237595.138","","2358485.998","2430982.405","1880665.16","2238396.972","2078167.873","2181349.619","2129612.129","1986953.973","1727269.372","1872526.815","1860627.21","","2269585.574","2482975.85","1762620.173","2328099.128","2099458.318","2589807.014","1750026.377","2342984.483","2337004.569","2012299.334","2032080.374","2334841.524","","1315423.237","2688614.03","2033339.009","1737287.84","2838492.655","2022944.494","2241660.033","1784851.289","1787643.479","2564186.074","2184776.152","2320383.605","0.06238232767410157"
"180","106.9631657","0.499749176","3406605.449","3649630.963","3826584.039","3013446.033","3322101.434","3283476.804","3254150.776","3775218.38","3084474.638","3105239.891","1566376.432","209236.7425","3387821.563","2976173.969","3411371.313","3548365.522","3155150.938","3193904.826","3394971.127","3427834.562","3406604.547","3234574.615","3039124.149","8059962.836","323876.0913","3155238.317","3045044.964","2858807.752","3285863.742","3947024.955","3972065.437","3370452.63","3195055.348","3943232.196","3199050.935","3432538.336","1082761.45","221467.0964","3615441.145","3218539.317","3608894.268","3231305.269","3109118.56","3724461.104","3832595.038","3060231.401","3284178.841","3185468.726","3175308.352","1074818.484","235924.8326","3210639.544","3048505.746","3131357.058","3049934.333","2940857.865","2971648.499","2958951.341","3366213.281","3307994.299","3092165.393","3524485.771","1578686.771","245661.78","3360001.109","3283865.611","3035125.252","2928600.616","3200761.774","2962202.711","2658268.29","3117910.34","2636888.826","3097181.437","3124561.825","1161319.146","328978.4104","3016249.522","3048257.022","3279614.041","3636462.344","3102426.673","3031729.834","3053503.714","3452532.93","2771411.664","3059222.532","3122545.64","841293.4021","397749.0937","3133986.788","2925270.16","3108025.682","3540198.697","3886774.597","2977017.567","3553385.987","3534744.077","2944943.869","3271786.79","2884744.685","1038665.948","344668.6584","3404528.835","3023828.784","2651478.138","2543763.277","2697258.574","2718383.548","2805916.456","3051767.174","2610116.236","3191746.025","1178308.02","578518.0956","3352775.519","2666316.615","2959991.187","2925821.913","3423850.682","2751955.537","3184416.955","2983627.326","2718819.641","2578574.339","3087436.385","781083.9526","","2929900.96","3109289.024","2850666.277","3570430.981","2568812.976","2827607.775","3288073.315","2906394.958","2696981.814","2892942.021","3454736.658","0.16112279023160947"
"183","195.0991972","8.290812071","3544882.726","4110790.42","2438338.899","2256279.444","2838942.967","4566183.534","3758565.419","2570720.562","2285885.286","3787037.477","1778584.135","137793.1888","3326331.158","3097237.154","2878453.711","2380587.14","2221138.438","4438382.924","4472590.751","4479960.343","2141680.664","3756124.453","4565731.898","1465276.098","210417.9272","3350381.87","2982934.44","3301935.434","2726152.325","2646536.47","5197829.674","3521475.008","4102667.04","3115519.645","3701835.575","2794153.498","1518388.644","197598.1525","3502603.426","2907034.465","2649472.467","2613709.012","3733093.164","4062400.521","2796625.332","4919730.864","4804044.38","2997757.651","3211713.923","1644473.077","206816.5915","3908837.982","3985223.788","4422049.035","4355419.892","4819568.759","2926903.086","5428765.459","3026945.087","5509556.188","3884405.522","3668324.035","2103294.852","247172.1398","3977064.4","3755057.532","3287272.564","3677849.143","4065881.672","5399734.4","4829199.093","4671046.377","3363434.282","2674300.688","2841596.103","2135094.797","167433.9588","4246898.417","3723048.336","5815333.933","2916122.826","4905294.039","3240599.201","5784051.65","4147350.701","2500128.941","2458554.804","2498909.928","2022318.128","248826.1564","3983484.654","5504161.816","4309393.266","2791638.625","3891610.106","6167798.08","3326738.104","6822362.198","3513658.063","3752389.507","5847462.784","2087373.925","231302.6599","3916927.991","2397313.478","3375436.961","3458577.676","3418509.021","5193542.253","2950224.145","5082119.44","4155671.772","3203092.964","1496308.88","127712.204","4022111.862","5227944.302","3534646.876","4883458.893","4133523.61","2747286.869","2490184.34","2817288.085","3334668.573","2283400.635","3933529.203","1654310.681","149811.0846","3544063.377","2994769.338","3099968.929","3983417.302","3137680.217","3560594.039","3026747.932","3739523.598","2510497.591","2936611.153","5420914.626","0.27698130524490217"
"185","160.1332179","0.851140744","3424423.278","3613642.353","3306387.762","3492176.876","5114633.731","3375226.833","2200610.638","3761572.243","2566690.906","1817117.071","27279.04582","3808333.543","3259548.774","3791161.962","2694247.449","2835919.935","3408224.952","3564457.08","3029829.721","3114708.777","5351417.843","3995669.671","2641995.456","17438.45723","3721481.87","3202841.099","3667572.366","1470468.306","2920348.344","2918170.257","4323372.835","2622005.593","4283380.011","3891395.634","4873785.596","1480338.633","20078.99401","3640004.8","3114793.079","3427420.537","3321321.352","2465284.741","3008660.46","3771915.216","3541265.132","2303236.695","3237534.58","5612095.037","1623956.724","31325.86288","3932433.042","3597055.801","3489669.942","2918099.271","4637598.333","3018453.392","2852717.035","4685717.882","4219267.551","2939352.322","2358697.521","4620406.391","23548.15903","4194760.779","3615789.948","4000186.764","3199063.963","2729982.632","2430937.179","4431098.571","2703130.265","4290023.446","3300448.482","3322471.973","3085764.422","19860.0027","3920121.561","3623666.649","3588822.066","4900266.716","2366316.906","2949700.813","3102530.318","2979064.882","2672952.022","2070330.41","2685991.925","3687880.137","","4195567.242","3327759.26","3553741.777","4141679.722","3946971.004","4137487.951","3098913.044","4021922.744","3710826.888","2738262.034","2356485.96","5415186.01","45644.81329","4399176.544","3512859.63","2581286.571","4592527.757","2288994.883","1474461.087","4979243.342","2407289.722","5922851.689","4398543.338","3976683.363","131477.5391","4915285.776","3810786.412","1030018.24","2837228.031","4902970.748","3894633.312","6285191.801","2699264.712","1294942.896","2618598.491","4057026.005","2789078.649","20534.42641","4950223.636","4908935.9","3392891.851","1644958.778","3690626.669","5013168.56","3337317.409","2226223.729","2332187.416","6597042.198","8102703.673","3385780.732","0.07091587750941597"
